run_id,clock_target_mhz,clock_applied_mhz,avg_clock_mhz,peak_clock_mhz,avg_temp_c,avg_gpu_util_pct,avg_mem_bw_util_pct,avg_vram_used_mib,avg_vram_alloc_pct,runtime_s,avg_power_w,energy_j,log_path
clk3105_r1_20260420_121648,3105,3105,2514.0909,2520.0000,50.8182,82.5758,82.5758,692.9091,11.2833,6.1977,43.8522,271.7828,data\raw\memory\logs\14_leaky_relu_custom\clk3105_r1_20260420_121648_power.csv
clk3105_r2_20260420_121704,3105,3105,2501.5038,2520.0000,51.2857,81.9549,81.9549,690.4887,11.2439,6.1978,44.1700,273.7572,data\raw\memory\logs\14_leaky_relu_custom\clk3105_r2_20260420_121704_power.csv
clk3105_r3_20260420_121721,3105,3105,2501.1364,2520.0000,51.7045,82.5758,82.5758,691.0833,11.2536,6.1994,44.4177,275.3611,data\raw\memory\logs\14_leaky_relu_custom\clk3105_r3_20260420_121721_power.csv
clk3045_r1_20260420_121739,3045,3045,2503.9453,2520.0000,51.6016,85.1562,85.1562,716.1484,11.6618,6.1990,44.7458,277.3779,data\raw\memory\logs\14_leaky_relu_custom\clk3045_r1_20260420_121739_power.csv
clk3045_r2_20260420_121754,3045,3045,2501.2782,2520.0000,51.9398,86.4211,86.4662,686.4361,11.1779,6.1978,44.1872,273.8630,data\raw\memory\logs\14_leaky_relu_custom\clk3045_r2_20260420_121754_power.csv
clk3045_r3_20260420_121810,3045,3045,2501.2500,2520.0000,52.0682,88.3485,88.7500,693.3939,11.2912,6.1991,44.4420,275.4987,data\raw\memory\logs\14_leaky_relu_custom\clk3045_r3_20260420_121810_power.csv
clk2985_r1_20260420_121828,2985,2985,2500.8984,2520.0000,51.9609,85.1562,85.1562,716.7109,11.6709,6.1984,44.9509,278.6253,data\raw\memory\logs\14_leaky_relu_custom\clk2985_r1_20260420_121828_power.csv
clk2985_r2_20260420_121843,2985,2985,2500.6489,2520.0000,52.0763,83.2061,83.2061,701.5267,11.4237,6.1973,44.4557,275.5035,data\raw\memory\logs\14_leaky_relu_custom\clk2985_r2_20260420_121843_power.csv
clk2985_r3_20260420_121859,2985,2985,2501.1364,2520.0000,52.1894,82.5758,82.5758,690.7955,11.2489,6.1975,44.2873,274.4722,data\raw\memory\logs\14_leaky_relu_custom\clk2985_r3_20260420_121859_power.csv
clk2925_r1_20260420_121917,2925,2925,2506.9767,2520.0000,52.0078,84.4961,84.4961,710.5969,11.5714,6.1992,44.7833,277.6223,data\raw\memory\logs\14_leaky_relu_custom\clk2925_r1_20260420_121917_power.csv
clk2925_r2_20260420_121933,2925,2925,2507.1591,2520.0000,52.2576,86.6667,87.1212,692.3788,11.2747,6.1989,44.4595,275.5997,data\raw\memory\logs\14_leaky_relu_custom\clk2925_r2_20260420_121933_power.csv
clk2925_r3_20260420_121949,2925,2925,2501.1654,2520.0000,52.3759,83.3083,83.4586,687.9474,11.2025,6.1986,44.1890,273.9101,data\raw\memory\logs\14_leaky_relu_custom\clk2925_r3_20260420_121949_power.csv
clk2865_r1_20260420_122007,2865,2865,2503.9535,2520.0000,52.1860,84.4961,84.4961,709.8527,11.5592,6.1986,44.7626,277.4650,data\raw\memory\logs\14_leaky_relu_custom\clk2865_r1_20260420_122007_power.csv
clk2865_r2_20260420_122023,2865,2865,2506.5909,2520.0000,52.4470,86.1212,86.6212,692.8409,11.2822,6.1993,44.3643,275.0260,data\raw\memory\logs\14_leaky_relu_custom\clk2865_r2_20260420_122023_power.csv
clk2865_r3_20260420_122038,2865,2865,2503.6364,2520.0000,52.6439,84.3485,84.5985,693.2273,11.2885,6.2006,44.6990,277.1594,data\raw\memory\logs\14_leaky_relu_custom\clk2865_r3_20260420_122038_power.csv
